;;
;;
;;
;;
[LAB-000257] CREATININA SERICA;CREATININA SERICA;
[LAB-000289] DEMODEX FOLLICULORUM;DEMODEX FOLLICULORUM;
[LAB-000336] EXAMEN COMPLETO DE ORINA;EXAMEN COMPLETO DE ORINA;
[LAB-000404] GLUCOSA BASAL;GLUCOSA BASAL;
[LAB-000415] GRUPO SANGUINEO Y FACTOR RH;GRUPO SANGUINEO Y FACTOR RH;
[LAB-000437] HEMOGLOBINA GLICOSILADA, A1C;HEMOGLOBINA GLICOSILADA, A1C;
[LAB-000440] HEMOGRAMA COMPLETO;HEMOGRAMA COMPLETO;
[LAB-000518] INSULINA BASAL;INSULINA BASAL;
[LAB-000646] PERFIL HEPATICO (TGO,TGP,BTYF, FAL,PTYF);PERFIL HEPATICO (TGO,TGP,BTYF, FAL,PTYF);
[LAB-000649] PERFIL LIPIDICO;PERFIL LIPIDICO;
[LAB-000658] PERFIL TIROIDEO (T3, T4 y TSH);PERFIL TIROIDEO (T3, T4 y TSH);
[LAB-000730] RPR SIFILIS;RPR SIFILIS;
[LAB-000770] T4 LIBRE;T4 LIBRE;
[LAB-000795] TIEMPO DE COAGULACION Y SANGRIA;TIEMPO DE COAGULACION Y SANGRÍA;
[LAB-000825] UREA EN SANGRE;UREA EN SANGRE;
[LAB-000864] PERFIL DE COAGULACIÓN (TP, TTP y FIBRINÓGENO);PERFIL DE COAGULACIÓN (TP, TTP y FIBRINÓGENO);
[LAB-000934] TSH;TSH;
[LAB-000948] PAQUETE DE LABORATORIO PREQUIRURGICO;PAQUETE DE LABORATORIO PREQUIRURGICO;
[LAB-000949] SUERO AUTOLOGO 30%;SUERO AUTOLOGO 30%;
[LAB-000952] HIV PRUEBA RAPIDA;HIV PRUEBA RAPIDA;
[LAB-000958] PRO-BNP (PEPTIDO NATRIUREICO);PRO-BNP (PEPTIDO NATRIUREICO);
LASER ACTIVA;;
[OFT-00107] LASER ACTIVA x SESIÓN;LASER ACTIVA x SESIÓN;
MEDICAMENTO SP / FARMACIA SP;;
[CAD-00109] CLORHIDRATO DE PROXIMETACAINA - PROPARACAINA 0,5% (ANESTEARS);CLORHIDRATO DE PROXIMETACAINA - PROPARACAINA 0,5% (ANESTEARS);
[CX-00149] LENTE DE CONTACTO;LENTE DE CONTACTO;
[M001-00044] MOXIFLOXACINO 5 mg/ml (LAMOFLOX);MOXIFLOXACINO 5 mg/ml (LAMOFLOX);
[M001-00052] MOXIFLOXACINO 5mg + DEXAMETASONA 1mg (VIGADEXA);MOXIFLOXACINO 5mg + DEXAMETASONA 1mg (VIGADEXA);
[M001-00097] ISDIN UREADIN ULTRA 20 CREAM - 100ml;ISDIN UREADIN ULTRA 20 CREAM - 100ml;
[M001-00100] ISDIN FOTOPROTECTOR FUSION WATER LIGHT - 50ml;[M001-00100] ISDIN FOTOPROTECTOR FUSION WATER LIGHT - 50ml;
[M001-00153] FENILEFRINA 10%;FENILEFRINA 10%;
[M001-00160] BALANZA GRAMERA;BALANZA GRAMERA;
[M001-00161] TROPICAMIDA 1% (TROPICAMIDA);TROPICAMIDA 1% (TROPICAMIDA);
[M001-00196] PILOCARPINA CLORHIDRATO 2% (ISOPTO CARPINA 2%);PILOCARPINA CLORHIDRATO 2% (ISOPTO CARPINA 2%);
[M001-00224] FLUORESCEIN SODIUM OPHTHALMIC STRIPS USP (BIO FLUORO);FLUORESCEIN SODIUM OPHTHALMIC STRIPS USP (BIO FLUORO);
[M001-00245] HIPROMELOSA 0,3% (HUMED);HIPROMELOSA 0,3% (HUMED);
MEDICAMENTOS/FARMACIA;;
[CAD-00507] ELECTRODO ADULTO;ELECTRODO ADULTO;
[CX-00149] LENTE DE CONTACTO;LENTE DE CONTACTO;
[M001-00004] HIALURONATO DE SODIO 10 mg/ml (HYLO COMOD);HIALURONATO DE SODIO 10 mg/ml (HYLO COMOD);
[M001-00005] PREDNISOLONA 10 mg/ml (UNIPRED -F);PREDNISOLONA 10 mg/ml (UNIPRED -F);
[M001-00014] OXITETRACICLINA 0,5 + POLIMIXIMA B 1000 000 UI + HIDROCORTIZONA ACETATO 1,0 g (TERRACORSOL);OXITETRACICLINA 0,5 + POLIMIXIMA B 1000 000 UI + HIDROCORTIZONA ACETATO 1,0 g (TERRACORSOL);
[M001-00015] CARBOXIMETILCELULOSA 0.5% GLICERINA 0.9% (OPTIVE);CARBOXIMETILCELULOSA 0.5% GLICERINA 0.9% (OPTIVE);
[M001-00016] CARBOXIMETILCELULOSA 0.5% GLICERINA 0.9% (OPTIVE FUSION);CARBOXIMETILCELULOSA 0.5% GLICERINA 0.9% (OPTIVE FUSION);
[M001-00019] ACETAZOLAMIDA 250 mg (ACETAK);ACETAZOLAMIDA 250 mg (ACETAK);
[M001-00022] KETOROLACO 10mg;KETOROLACO 10mg;
[M001-00023] LATANOPROST 0.005% (HOPRIX);LATANOPROST 0.005% (HOPRIX);
[M001-00026] PREDNISOLONA 10 mg/ml (SOPHIPREN);PREDNISOLONA 10 mg/ml (SOPHIPREN);
[M001-00027] OLOPATADINA 2 mg/ml (OLOMUC PF);OLOPATADINA 2 mg/ml (OLOMUC PF);
[M001-00028] DORZOLAMIDA 20 mg/ml TIMOLOL 5 mg/ml BRIMONIDINA 2mg/ml (KRYTANTEK);DORZOLAMIDA 20 mg/ml TIMOLOL 5 mg/ml BRIMONIDINA 2mg/ml (KRYTANTEK);
[M001-00031] PREDNISOLONA 10 mg/ml (PRED FORTE);PREDNISOLONA 10 mg/ml (PRED FORTE);
[M001-00033] TIMOLOL 5 mg/ml (TIMOX);TIMOLOL 5 mg/ml (TIMOX);
[M001-00039] OLOPATADINA 2 mg/ml (MELIUS);OLOPATADINA 2 mg/ml (MELIUS);
[M001-00042] CARBOXIMETILCELULOSA 0.5% (FREEGEN PF);CARBOXIMETILCELULOSA 0.5% (FREEGEN PF);
[M001-00043] DORZOLAMIDA 20 mg/ml+TIMOLOL 5 mg/ml (GLAMAX );DORZOLAMIDA 20 mg/ml+TIMOLOL 5 mg/ml (GLAMAX );
[M001-00044] MOXIFLOXACINO 5 mg/ml (LAMOFLOX);MOXIFLOXACINO 5 mg/ml (LAMOFLOX);
[M001-00050] MOXIFLOXACINO 5 mg/ml (VIGAMOX);MOXIFLOXACINO 5 mg/ml (VIGAMOX);
[M001-00052] MOXIFLOXACINO 5mg + DEXAMETASONA 1mg (VIGADEXA);MOXIFLOXACINO 5mg + DEXAMETASONA 1mg (VIGADEXA);
[M001-00053] SOLUCION ESPUMOSA PARA LA LIMPIEZA DE PARPADOS Y PESTAÑAS (SPRAINER);SOLUCION ESPUMOSA PARA LA LIMPIEZA DE PARPADOS Y PESTAÑAS (SPRAINER);
[M001-00057] HIALURONATO DE SODIO 0,4% (LUBRIAL);HIALURONATO DE SODIO 0,4% (LUBRIAL);
[M001-00060] LATANOPROST (MONOPROST);LATANOPROST (MONOPROST);
[M001-00064] PROTECTOR OCULAR HIPOALERGÉNICO (OFTAM);PROTECTOR OCULAR HIPOALERGÉNICO (OFTAM);
[M001-00067] HIALURONATO DE SODIO 1mg/ml (HYALO ADVANCE SP);HIALURONATO DE SODIO 1mg/ml (HYALO ADVANCE SP);
[M001-00069] KETOROLACO TROMETAMOL 0,4% (ACULAR LS);KETOROLACO TROMETAMOL 0,4% (ACULAR LS);
[M001-00070] PREDNISOLONA 1% (PREDSO);PREDNISOLONA 1% (PREDSO);
[M001-00118] TOBRAMICINA 0.3% + DEXAMETASONA 0.1% (TRAZIDEX UNGUENTO);TOBRAMICINA 0.3% + DEXAMETASONA 0.1% (TRAZIDEX UNGUENTO);
[M001-00121] BROMFENACO 0,09% (BRONAX); BROMFENACO 0,09% (BRONAX);
[M001-00124] HIALURONATO DE SODIO 0,4% (OFTAFILM SP);HIALURONATO DE SODIO 0,4% (OFTAFILM SP);
[M001-00126] LATANOPROST 0.050 MG + TIMOLOL 5 MG (LANOPROST PLUS);LATANOPROST 0.050 MG + TIMOLOL 5 MG (LANOPROST PLUS);
[M001-00127] HIPROMELOSA DEXTRAN 3-1 MG/ML (NICOTEARS);HIPROMELOSA DEXTRAN 3-1 MG/ML (NICOTEARS);
[M001-00128] BRIMONIDINA TARTRATO 0,2% (NAMAX);BRIMONIDINA TARTRATO 0,2% (NAMAX);
