,,,,
,,,,
,NOMBRE DE TRYTON,NOMBRE SIMPLIFICADO PARA FACTURADOR,D,GLOSA - PARA CONTABILIDAD
,[IMG-00082] TEST DE SIRIUS (MEIBOGRAFÍA + PELÍCULA LAGRIMAL + OSDI+ TBUT),TEST DE SIRIUS (MEIBOGRAFÍA + PELÍCULA LAGRIMAL + OSDI+ TBUT),VENTA DE SERVICIO,SERVICIO
,[IOX-000433] COMPRA DE LUNAS,COMPRA DE LUNAS,VENTA DE LUNAS,LUNAS
,[IOX-000434] COMPRA DE LUNAS OFTÁLMICAS - A CUENTA,COMPRA DE LUNAS,VENTA DE LUNAS,LUNAS
,[IOX-000435] COMPRA DE LUNAS OFTÁLMICAS - SALDO,COMPRA DE LUNAS,VENTA DE LUNAS,LUNAS
,[IOX-000438] LENTE DE CONTACTO PUPILENS,LENTE DE CONTACTO,VENTA DE LENTE DE CONTACTO,LENTE DE CONTACTO
,[LAB-000257] CREATININA SERICA,CREATININA SERICA,VENTA DE SERVICIO - LABORATORIO,SERVICIO - LABORATORIO
,[LAB-000289] DEMODEX FOLLICULORUM,DEMODEX FOLLICULORUM,VENTA DE SERVICIO - LABORATORIO,SERVICIO - LABORATORIO
,[LAB-000336] EXAMEN COMPLETO DE ORINA,EXAMEN COMPLETO DE ORINA,VENTA DE SERVICIO - LABORATORIO,SERVICIO - LABORATORIO
,[LAB-000404] GLUCOSA BASAL,GLUCOSA BASAL,VENTA DE SERVICIO - LABORATORIO,SERVICIO - LABORATORIO
,[LAB-000415] GRUPO SANGUINEO Y FACTOR RH,GRUPO SANGUINEO Y FACTOR RH,VENTA DE SERVICIO - LABORATORIO,SERVICIO - LABORATORIO
,"[LAB-000437] HEMOGLOBINA GLICOSILADA, A1C","HEMOGLOBINA GLICOSILADA, A1C",VENTA DE SERVICIO - LABORATORIO,SERVICIO - LABORATORIO
,[LAB-000440] HEMOGRAMA COMPLETO,HEMOGRAMA COMPLETO,VENTA DE SERVICIO - LABORATORIO,SERVICIO - LABORATORIO
,[LAB-000518] INSULINA BASAL,INSULINA BASAL,VENTA DE SERVICIO - LABORATORIO,SERVICIO - LABORATORIO
,"[LAB-000646] PERFIL HEPATICO (TGO,TGP,BTYF, FAL,PTYF)","PERFIL HEPATICO (TGO,TGP,BTYF, FAL,PTYF)",VENTA DE SERVICIO - LABORATORIO,SERVICIO - LABORATORIO
,[LAB-000649] PERFIL LIPIDICO,PERFIL LIPIDICO,VENTA DE SERVICIO - LABORATORIO,SERVICIO - LABORATORIO
,"[LAB-000658] PERFIL TIROIDEO (T3, T4 y TSH)","PERFIL TIROIDEO (T3, T4 y TSH)",VENTA DE SERVICIO - LABORATORIO,SERVICIO - LABORATORIO
,[LAB-000730] RPR SIFILIS,RPR SIFILIS,VENTA DE SERVICIO - LABORATORIO,SERVICIO - LABORATORIO
,[LAB-000770] T4 LIBRE,T4 LIBRE,VENTA DE SERVICIO - LABORATORIO,SERVICIO - LABORATORIO
,[LAB-000795] TIEMPO DE COAGULACION Y SANGRIA,TIEMPO DE COAGULACION Y SANGRÍA,VENTA DE SERVICIO - LABORATORIO,SERVICIO - LABORATORIO
,[LAB-000825] UREA EN SANGRE,UREA EN SANGRE,VENTA DE SERVICIO - LABORATORIO,SERVICIO - LABORATORIO
,"[LAB-000864] PERFIL DE COAGULACIÓN (TP, TTP y FIBRINÓGENO)","PERFIL DE COAGULACIÓN (TP, TTP y FIBRINÓGENO)",VENTA DE SERVICIO - LABORATORIO,SERVICIO - LABORATORIO
,[LAB-000934] TSH,TSH,VENTA DE SERVICIO - LABORATORIO,SERVICIO - LABORATORIO
,[LAB-000948] PAQUETE DE LABORATORIO PREQUIRURGICO,PAQUETE DE LABORATORIO PREQUIRURGICO,VENTA DE SERVICIO - LABORATORIO,SERVICIO - LABORATORIO
,[LAB-000949] SUERO AUTOLOGO 30%,SUERO AUTOLOGO 30%,VENTA DE SERVICIO - LABORATORIO,SERVICIO - LABORATORIO
,[LAB-000952] HIV PRUEBA RAPIDA,HIV PRUEBA RAPIDA,VENTA DE SERVICIO - LABORATORIO,SERVICIO - LABORATORIO
,[LAB-000958] PRO-BNP (PEPTIDO NATRIUREICO),PRO-BNP (PEPTIDO NATRIUREICO),VENTA DE SERVICIO - LABORATORIO,SERVICIO - LABORATORIO
,[M001-00004] HIALURONATO DE SODIO 10 mg/ml (HYLO COMOD),HIALURONATO DE SODIO 10 mg/ml (HYLO COMOD),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00005] PREDNISOLONA 10 mg/ml (UNIPRED -F),PREDNISOLONA 10 mg/ml (UNIPRED -F),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,"[M001-00014] OXITETRACICLINA 0,5 + POLIMIXIMA B 1000 000 UI + HIDROCORTIZONA ACETATO 1,0 g (TERRACORSOL)","OXITETRACICLINA 0,5 + POLIMIXIMA B 1000 000 UI + HIDROCORTIZONA ACETATO 1,0 g (TERRACORSOL)",VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00015] CARBOXIMETILCELULOSA 0.5% GLICERINA 0.9% (OPTIVE),CARBOXIMETILCELULOSA 0.5% GLICERINA 0.9% (OPTIVE),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00016] CARBOXIMETILCELULOSA 0.5% GLICERINA 0.9% (OPTIVE FUSION),CARBOXIMETILCELULOSA 0.5% GLICERINA 0.9% (OPTIVE FUSION),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00019] ACETAZOLAMIDA 250 mg (ACETAK),ACETAZOLAMIDA 250 mg (ACETAK),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00022] KETOROLACO 10mg,KETOROLACO 10mg,VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00023] LATANOPROST 0.005% (HOPRIX),LATANOPROST 0.005% (HOPRIX),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00026] PREDNISOLONA 10 mg/ml (SOPHIPREN),PREDNISOLONA 10 mg/ml (SOPHIPREN),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00027] OLOPATADINA 2 mg/ml (OLOMUC PF),OLOPATADINA 2 mg/ml (OLOMUC PF),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00028] DORZOLAMIDA 20 mg/ml TIMOLOL 5 mg/ml BRIMONIDINA 2mg/ml (KRYTANTEK),DORZOLAMIDA 20 mg/ml TIMOLOL 5 mg/ml BRIMONIDINA 2mg/ml (KRYTANTEK),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00031] PREDNISOLONA 10 mg/ml (PRED FORTE),PREDNISOLONA 10 mg/ml (PRED FORTE),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00033] TIMOLOL 5 mg/ml (TIMOX),TIMOLOL 5 mg/ml (TIMOX),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00039] OLOPATADINA 2 mg/ml (MELIUS),OLOPATADINA 2 mg/ml (MELIUS),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00042] CARBOXIMETILCELULOSA 0.5% (FREEGEN PF),CARBOXIMETILCELULOSA 0.5% (FREEGEN PF),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00043] DORZOLAMIDA 20 mg/ml+TIMOLOL 5 mg/ml (GLAMAX ),DORZOLAMIDA 20 mg/ml+TIMOLOL 5 mg/ml (GLAMAX ),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00044] MOXIFLOXACINO 5 mg/ml (LAMOFLOX),MOXIFLOXACINO 5 mg/ml (LAMOFLOX),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00044] MOXIFLOXACINO 5 mg/ml (LAMOFLOX),MOXIFLOXACINO 5 mg/ml (LAMOFLOX),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00050] MOXIFLOXACINO 5 mg/ml (VIGAMOX),MOXIFLOXACINO 5 mg/ml (VIGAMOX),VENTA DE MEDICAMENTOS,MEDICAMENTOS
